axis,fpr,tpr,threshold
I/E,0.07741347905282331,0.21857014963550325,0.7344508514873068
I/E,0.0778688524590164,0.21857014963550325,0.7344059062281217
I/E,0.0778688524590164,0.21882593682056528,0.7343636108966296
I/E,0.07832422586520947,0.21882593682056528,0.7343510727440838
I/E,0.07832422586520947,0.21933751119068934,0.7341046640485075
I/E,0.07877959927140255,0.21933751119068934,0.734057572435124
I/E,0.07877959927140255,0.2217674894487786,0.7329541207844379
I/E,0.07923497267759563,0.2217674894487786,0.7329409845411535
I/E,0.07923497267759563,0.2225348510039647,0.7323860490691424
I/E,0.07969034608378871,0.2225348510039647,0.7323074040373585
I/E,0.07969034608378871,0.22291853178155774,0.7322291192929014
I/E,0.08014571948998178,0.22291853178155774,0.7321984080347727
I/E,0.08014571948998178,0.22368589333674382,0.7319041431514639
I/E,0.08060109289617487,0.22368589333674382,0.7318895467649762
I/E,0.08060109289617487,0.22406957411433687,0.7318274549664773
I/E,0.08151183970856102,0.22406957411433687,0.731768881354528
I/E,0.08151183970856102,0.2244532548919299,0.7315727218162369
I/E,0.08196721311475409,0.2244532548919299,0.731398537173882
I/E,0.08196721311475409,0.22560429722470904,0.7310515400899718
I/E,0.08242258652094718,0.22560429722470904,0.7309534945943166
I/E,0.08242258652094718,0.22662744596495715,0.7306446167071761
I/E,0.08287795992714025,0.22662744596495715,0.7305869893882102
I/E,0.08287795992714025,0.22752270111267425,0.7302056474343291
I/E,0.08333333333333333,0.22752270111267425,0.7300941664455669
I/E,0.08333333333333333,0.23097582811101164,0.7281672382036185
I/E,0.08378870673952642,0.23097582811101164,0.7279734664113529
I/E,0.08378870673952642,0.2323826576288528,0.7275677274126351
I/E,0.08424408014571949,0.2323826576288528,0.7275354374767495
I/E,0.08424408014571949,0.23289423199897685,0.7273726467496725
I/E,0.08515482695810565,0.23289423199897685,0.7273380029444348
I/E,0.08515482695810565,0.23366159355416294,0.7270995486447642
I/E,0.08561020036429873,0.23366159355416294,0.7270644329367543
I/E,0.08561020036429873,0.23378948714669395,0.7269770013188108
I/E,0.08652094717668488,0.23378948714669395,0.7268309128582544
I/E,0.08652094717668488,0.23545210384959714,0.7260526840944284
I/E,0.08697632058287796,0.23545210384959714,0.7260356594253036
I/E,0.08697632058287796,0.2359636782197212,0.7259148109191244
I/E,0.08743169398907104,0.2359636782197212,0.7258730437141392
I/E,0.08743169398907104,0.23647525258984525,0.7257242568158482
I/E,0.08788706739526411,0.23647525258984525,0.725702767554804
I/E,0.08788706739526411,0.23903312444046554,0.7248654504575174
I/E,0.0883424408014572,0.23903312444046554,0.7248509262802001
I/E,0.0883424408014572,0.2395446988105896,0.7245291432958807
I/E,0.08879781420765027,0.2395446988105896,0.7244003226512501
I/E,0.08879781420765027,0.23992837958818264,0.7242428114855141
I/E,0.08970856102003642,0.23992837958818264,0.7242160426668932
